City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,230,Alofi,-19.0595,-169.9187,82.4,69,48,23.02,NU,2021-02-20 21:44:24
235,235,Acarau,-2.8856,-40.12,81.03,74,51,14.23,BR,2021-02-20 21:48:32
236,236,Vallenar,-28.5708,-70.7581,80.29,26,0,6.33,CL,2021-02-20 21:48:32
238,238,Bathsheba,13.2167,-59.5167,75.2,73,75,13.8,BB,2021-02-20 21:45:25
241,241,Poum,-20.2333,164.0167,82.72,75,100,4.21,NC,2021-02-20 21:44:18
243,243,Villa Union,23.2,-106.2333,77.0,65,1,5.75,MX,2021-02-20 21:48:33
254,254,Garachine,8.0647,-78.3628,80.98,80,20,6.78,PA,2021-02-20 21:48:35
262,262,Barra Dos Coqueiros,-10.9089,-37.0386,82.4,65,20,16.11,BR,2021-02-20 21:46:05
263,263,Namatanai,-3.6667,152.4333,82.78,75,12,5.19,PG,2021-02-20 21:45:15
264,264,Tonota,-21.4833,27.4833,76.17,54,97,9.31,BW,2021-02-20 21:48:37
266,266,Jurado,7.1053,-77.7641,81.16,80,33,3.4,CO,2021-02-20 21:48:38
274,274,Sena Madureira,-9.0656,-68.6569,81.23,82,58,3.06,BR,2021-02-20 21:48:39
276,276,Pochutla,15.7432,-96.4661,88.0,48,1,9.22,MX,2021-02-20 21:44:41
279,279,Cairns,-16.9167,145.7667,75.2,88,90,1.14,AU,2021-02-20 21:48:06
280,280,Soyo,-6.1349,12.3689,79.56,77,100,4.32,AO,2021-02-20 21:44:47
283,283,San Cristobal,7.7669,-72.225,86.0,51,40,11.5,VE,2021-02-20 21:45:56
297,297,Nabire,-3.3667,135.4833,76.19,86,87,3.53,ID,2021-02-20 21:44:58
299,299,Karratha,-20.7377,116.8463,84.51,67,61,8.97,AU,2021-02-20 21:45:36
303,303,Pedernales,18.0384,-71.744,80.46,56,1,4.56,DO,2021-02-20 21:44:27
305,305,Beroroha,-21.6667,45.1667,77.68,87,100,0.47,MG,2021-02-20 21:48:44
313,313,Juba,4.8517,31.5825,75.47,24,53,1.79,SS,2021-02-20 21:48:45
318,318,Plaeng Yao,13.5847,101.28399999999999,78.01,69,67,2.98,TH,2021-02-20 21:48:46
320,320,Katherine,-14.4667,132.2667,77.0,100,75,5.75,AU,2021-02-20 21:48:47
321,321,Jardim,-21.4803,-56.1381,80.24,59,0,4.38,BR,2021-02-20 21:47:26
324,324,Cidreira,-30.1811,-50.2056,75.02,77,0,5.14,BR,2021-02-20 21:44:21
328,328,Sabang,5.8933,95.3214,81.88,76,36,21.14,ID,2021-02-20 21:48:48
329,329,Tamandare,-8.7597,-35.1047,79.03,79,100,9.08,BR,2021-02-20 21:48:48
334,334,Esmeraldas,-19.7625,-44.3139,75.2,83,40,4.61,BR,2021-02-20 21:48:49
335,335,Kattivakkam,13.2167,80.3167,75.2,83,75,13.8,IN,2021-02-20 21:48:49
337,337,Mahajanga,-15.7167,46.3167,80.46,84,100,10.02,MG,2021-02-20 21:48:49
338,338,Sorong,-0.8833,131.25,81.09,76,100,6.78,ID,2021-02-20 21:48:49
340,340,Port Keats,-14.25,129.55,77.49,85,97,4.79,AU,2021-02-20 21:48:50
347,347,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,77.0,94,20,5.75,BR,2021-02-20 21:48:51
348,348,Prestea,5.4327,-2.1428,76.87,88,37,3.98,GH,2021-02-20 21:48:51
