City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Palana,59.1167,159.9667,2.91,93,88,7.87,RU,2021-02-20 21:44:16
68,Roma,43.2128,-75.4557,26.6,54,75,19.57,US,2021-02-20 21:45:33
69,Atuona,-9.8,-139.0333,79.36,79,100,12.24,PF,2021-02-20 21:44:17
70,Nikolskoye,59.7035,30.7861,19.4,79,90,6.71,RU,2021-02-20 21:44:38
71,Mahebourg,-20.4081,57.7,78.8,83,40,8.05,MU,2021-02-20 21:44:26
72,Khani,41.9563,42.9566,35.6,93,75,2.3,GE,2021-02-20 21:48:04
73,Bambous Virieux,-20.3428,57.7575,80.01,83,40,8.05,MU,2021-02-20 21:44:50
74,Dunedin,-45.8742,170.5036,62.01,71,11,7.0,NZ,2021-02-20 21:43:55
75,Cheltenham,51.9,-2.0833,54.0,84,100,7.0,GB,2021-02-20 21:48:04
76,Sinnamary,5.3833,-52.95,77.76,82,94,12.97,GF,2021-02-20 21:46:10
77,Provideniya,64.3833,-173.3,-7.6,77,40,17.9,RU,2021-02-20 21:44:21
78,Nikel,69.4128,30.222,-0.4,85,0,9.22,RU,2021-02-20 21:48:05
79,Santa Cruz Del Sur,20.7147,-77.9956,81.64,62,17,10.4,CU,2021-02-20 21:48:05
80,Acapulco,16.8634,-99.8901,82.4,61,1,13.8,MX,2021-02-20 21:40:12
81,Kavieng,-2.5744,150.7967,83.14,80,59,13.42,PG,2021-02-20 21:44:28
82,Dwarka,22.2394,68.9678,73.58,46,27,7.74,IN,2021-02-20 21:45:57
83,Arraial Do Cabo,-22.9661,-42.0278,80.6,83,40,9.22,BR,2021-02-20 21:44:12
84,Mataura,-46.1927,168.8643,64.99,60,0,5.99,NZ,2021-02-20 21:44:23
85,Mogadishu,2.0371,45.3438,77.07,79,82,19.19,SO,2021-02-20 21:48:06
86,Barrow,71.2906,-156.7887,-18.4,76,90,4.61,US,2021-02-20 21:41:11
87,Victoria,22.2855,114.1577,64.0,80,49,6.69,HK,2021-02-20 21:39:35
88,Pierre,44.3683,-100.351,39.2,45,20,12.66,US,2021-02-20 21:44:52
89,Honningsvag,70.9821,25.9704,19.02,88,0,32.73,NO,2021-02-20 21:48:07
90,Havelock,34.8791,-76.9013,44.6,42,1,14.97,US,2021-02-20 21:45:59
91,Narsaq,60.9167,-46.05,21.2,79,75,2.3,GL,2021-02-20 21:44:47
92,Denpasar,-8.65,115.2167,77.0,94,75,1.14,ID,2021-02-20 21:48:07
93,Airai,-8.9266,125.4092,61.03,100,100,1.1,TL,2021-02-20 21:44:14
94,Mahibadhoo,3.7833,72.9667,81.19,74,39,10.09,MV,2021-02-20 21:45:28
95,Lebu,-37.6167,-73.65,59.25,71,0,18.23,CL,2021-02-20 21:44:36
96,Carnarvon,-24.8667,113.6333,78.8,94,40,6.91,AU,2021-02-20 21:44:24
97,Stranda,62.3096,6.9358,42.01,88,100,7.65,NO,2021-02-20 21:48:08
98,Sao Filipe,14.8961,-24.4956,72.01,68,0,8.75,CV,2021-02-20 21:44:57
99,Palpa,-14.5336,-75.1856,84.29,37,0,9.35,PE,2021-02-20 21:48:08
100,Lorengau,-2.0226,147.2712,84.22,75,21,9.17,PG,2021-02-20 21:44:43
101,Avarua,-21.2078,-159.775,82.4,78,40,11.5,CK,2021-02-20 21:44:05
102,Tasiilaq,65.6145,-37.6368,32.0,80,90,25.32,GL,2021-02-20 21:44:07
103,Harlingen,26.1906,-97.6961,68.0,45,40,13.8,US,2021-02-20 21:48:09
104,Adrar,20.5022,-10.0711,71.82,17,0,7.4,MR,2021-02-20 21:45:14
105,Plouzane,48.3833,-4.6167,51.8,93,90,18.41,FR,2021-02-20 21:45:44
106,Sturgis,41.7992,-85.4192,24.8,54,1,4.61,US,2021-02-20 21:48:09
107,Lipari,38.4674,14.954,53.01,79,0,1.99,IT,2021-02-20 21:48:10
108,Omboue,-1.5746,9.2618,78.89,84,100,5.44,GA,2021-02-20 21:48:10
109,Castro,-24.7911,-50.0119,68.22,81,12,3.83,BR,2021-02-20 21:44:46
110,Yellowknife,62.456,-114.3525,-2.99,71,90,11.5,CA,2021-02-20 21:44:07
111,Vila Velha,-20.3297,-40.2925,82.99,83,75,14.97,BR,2021-02-20 21:44:16
112,Mitsamiouli,-11.3847,43.2844,82.18,74,100,4.25,KM,2021-02-20 21:44:12
113,Ambon,-3.6954,128.1814,75.2,94,40,4.61,ID,2021-02-20 21:46:07
114,Balakhta,55.38,91.6,-11.49,89,99,0.36,RU,2021-02-20 21:48:12
115,Ayan,56.45,138.1667,-1.55,83,100,7.74,RU,2021-02-20 21:44:13
116,Port Hardy,50.6996,-127.4199,41.0,87,90,5.75,CA,2021-02-20 21:45:42
117,Waterloo,43.4668,-80.5164,28.0,63,40,14.97,CA,2021-02-20 21:46:23
118,Puerto Ayora,-0.7393,-90.3518,81.0,78,75,3.44,EC,2021-02-20 21:44:27
119,Port Elizabeth,-33.918,25.5701,68.0,73,90,9.22,ZA,2021-02-20 21:42:20
120,Cape Town,-33.9258,18.4232,69.01,63,75,6.91,ZA,2021-02-20 21:42:38
121,Ende,-8.8432,121.6623,78.75,80,100,9.1,ID,2021-02-20 21:48:13
122,Nongan,44.382,125.1685,15.8,86,0,4.47,CN,2021-02-20 21:48:13
123,Dingle,10.9995,122.6711,72.21,83,100,9.55,PH,2021-02-20 21:44:52
124,Bela,25.9333,81.9833,58.33,37,0,2.86,IN,2021-02-20 21:48:13
125,Georgetown,5.4112,100.3354,78.8,73,20,4.61,MY,2021-02-20 21:44:25
126,Saskylakh,71.9167,114.0833,-28.12,84,89,2.84,RU,2021-02-20 21:44:39
127,Miyako,39.6367,141.9525,35.91,79,1,5.82,JP,2021-02-20 21:48:14
128,Kodiak,57.79,-152.4072,30.2,86,90,10.36,US,2021-02-20 21:42:12
129,Sibu,2.3,111.8167,71.6,100,20,1.86,MY,2021-02-20 21:46:05
130,Chimala,-8.85,34.0167,64.71,84,100,1.63,TZ,2021-02-20 21:48:14
131,Gravelbourg,49.8834,-106.5512,30.2,55,30,9.22,CA,2021-02-20 21:48:14
132,Yanam,16.7333,82.2167,73.2,83,100,7.23,IN,2021-02-20 21:48:14
133,Puerto Escondido,15.85,-97.0667,84.2,79,1,5.75,MX,2021-02-20 21:48:14
134,Norman Wells,65.282,-126.8329,-13.0,70,75,9.22,CA,2021-02-20 21:44:19
135,Carbonia,39.1672,8.5222,55.4,88,0,6.91,IT,2021-02-20 21:48:15
136,Goderich,43.7501,-81.7165,24.8,86,75,6.91,CA,2021-02-20 21:44:48
137,Klaksvik,62.2266,-6.589,46.4,93,75,36.82,FO,2021-02-20 21:44:30
138,Taitung,22.7583,121.1444,61.02,61,55,6.06,TW,2021-02-20 21:48:15
139,Esfarayen,37.0765,57.5101,33.8,80,0,4.61,IR,2021-02-20 21:48:15
140,Olinda,-8.0089,-34.8553,80.6,69,40,10.36,BR,2021-02-20 21:46:54
141,Grand Bend,43.3168,-81.7498,26.01,88,80,3.0,CA,2021-02-20 21:45:00
142,Konevo,62.1215,39.3192,-19.37,87,0,2.17,RU,2021-02-20 21:48:16
143,Inhambane,-23.865,35.3833,79.92,83,100,6.93,MZ,2021-02-20 21:44:05
144,Saint-Joseph,-21.3667,55.6167,78.8,78,0,4.61,RE,2021-02-20 21:44:55
145,Grindavik,63.8424,-22.4338,39.2,87,75,11.5,IS,2021-02-20 21:44:04
146,Hithadhoo,-0.6,73.0833,82.02,77,28,12.28,MV,2021-02-20 21:44:50
147,Roswell,34.0232,-84.3616,52.0,25,1,6.91,US,2021-02-20 21:48:17
148,Kupang,-10.1667,123.5833,75.2,100,40,2.3,ID,2021-02-20 21:44:05
149,Mattawa,46.7379,-119.9028,37.0,100,90,10.54,US,2021-02-20 21:48:17
150,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,12.66,CA,2021-02-20 21:44:21
151,Kavaratti,10.5669,72.642,80.24,60,1,1.23,IN,2021-02-20 21:46:13
152,Katobu,-4.9408,122.5276,77.23,86,100,4.5,ID,2021-02-20 21:48:18
153,San Quintin,30.4833,-115.95,61.92,71,0,25.26,MX,2021-02-20 21:45:14
154,Monforte De Lemos,42.5216,-7.5142,42.01,97,100,1.99,ES,2021-02-20 21:48:18
155,Naze,28.3667,129.4833,53.6,82,40,4.61,JP,2021-02-20 21:48:18
156,Leninogorsk,54.6026,52.4609,-18.35,89,93,3.29,RU,2021-02-20 21:48:18
157,Bilibino,68.0546,166.4372,-24.23,64,0,1.39,RU,2021-02-20 21:48:18
158,Djibo,14.1022,-1.6306,75.51,16,61,9.82,BF,2021-02-20 21:48:19
159,Sur,22.5667,59.5289,66.97,52,0,3.38,OM,2021-02-20 21:44:40
160,Geraldton,-28.7667,114.6,62.6,88,0,11.48,AU,2021-02-20 21:45:30
161,Nevelsk,46.6733,141.8633,-4.0,84,20,18.54,RU,2021-02-20 21:45:48
162,Saint-Francois,46.4154,3.9054,55.4,54,0,17.27,FR,2021-02-20 21:48:19
163,Mangai,-4.05,19.5333,69.64,94,92,1.66,CD,2021-02-20 21:48:19
164,Ferry Pass,30.5102,-87.2125,64.0,26,1,5.75,US,2021-02-20 21:47:08
165,Bajil,15.0584,43.2851,76.75,70,72,5.82,YE,2021-02-20 21:43:20
166,Fare,-16.7,-151.0167,81.39,77,100,15.05,PF,2021-02-20 21:48:20
167,Esperance,-33.8667,121.9,57.2,88,0,5.75,AU,2021-02-20 21:44:28
168,Rayong,12.8333,101.4333,73.99,98,82,1.97,TH,2021-02-20 21:48:20
169,Namibe,-15.1961,12.1522,72.03,71,100,7.34,AO,2021-02-20 21:44:16
170,Gornopravdinsk,60.05,69.9,-15.72,88,97,2.93,RU,2021-02-20 21:48:21
171,Pisco,-13.7,-76.2167,75.2,73,0,11.5,PE,2021-02-20 21:44:13
172,Katakwi,1.8911,33.9661,71.74,50,26,3.49,UG,2021-02-20 21:48:21
